trong	E	B-l	B-l
yêu	V	B-ano	B-ano
cầu	V	I-ano	I-ano
an	A	I-ano	I-ano
toàn	A	I-ano	I-ano
về	E	I-ano	I-ano
kỹ	N	I-ano	I-ano
thuật	N	I-ano	I-ano
với	E	I-ano	I-ano
gạt	V	I-ano	I-ano
nước	N	I-ano	I-ano
lắp	V	I-ano	I-ano
trên	E	I-ano	I-ano
ô	N	B-tv	B-tv
tô	N	I-tv	I-tv

phương	N	B-ano	B-ano
tiện	N	I-ano	I-ano
giao	N	I-ano	I-ano
thông	N	I-ano	I-ano
đường	N	I-ano	I-ano
bộ	N	I-ano	I-ano
gồm	V	B-qt	B-qt
những	L	I-qt	I-qt
loại	N	I-qt	I-qt
nào	P	I-qt	I-qt

khái	N	O	O
niệm	N	O	O
phương	N	B-ano	B-ano
tiện	N	I-ano	I-ano
giao	N	I-ano	I-ano
thông	N	I-ano	I-ano
cơ	N	I-ano	I-ano
giới	N	I-ano	I-ano
đường	N	I-ano	I-ano
bộ	N	I-ano	I-ano
được	R	B-qt	B-qt
hiểu	V	I-qt	I-qt
thế	P	I-qt	I-qt
nào	P	I-qt	I-qt
là	V	O	O
đúng	A	O	O

giấy	N	B-dl	B-dl
phép	N	I-dl	I-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
a	N	I-dl	I-dl
3	M	I-dl	I-dl
cấp	V	O	O
cho	E	O	O
người	N	O	O
đi	V	O	O
loại	Nc	B-qt	B-qt
xe	N	I-qt	I-qt
nào	P	I-qt	I-qt

18	M	B-if3	B-if3
tuổi	N	I-if3	I-if3
thì	C	O	O
được	V	O	B-qt
lái	V	O	I-qt
những	L	O	I-qt
loại	Nc	B-qt	I-qt
xe	N	I-qt	I-qt
gì	P	I-qt	I-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	N	I-dl	I-dl
1	M	I-dl	I-dl
số	N	I-dl	I-dl
tự	A	I-dl	I-dl
động	A	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
2	M	I-if3	I-if3
năm	N	I-if3	I-if3
và	CC	I-if3	I-if3
9.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
b	N	I-a	I-a
1	M	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	N	I-dl	I-dl
1	M	I-dl	I-dl
số	N	I-dl	I-dl
tự	A	I-dl	I-dl
động	A	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
13.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
b	N	I-a	I-a
1	M	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
50.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
fc	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
d	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
50.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
fc	N	I-a	I-a
không	R	B-qt	B-qt

khi	N	B-qt	B-qt
nào	P	I-qt	I-qt
được	R	O	O
nâng	V	B-a	B-a
hạng	N	I-a	I-a
giấy	N	B-dl	B-dl
phép	N	I-dl	I-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
từ	E	O	O
d	N	B-dl	B-dl
lên	R	B-a	B-a
fc	V	I-a	I-a

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
e	V	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
50.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
fc	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	A	I-dl	I-dl
2	M	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
30.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
c	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	A	I-dl	I-dl
2	M	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
36	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
60.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
c	N	I-a	I-a
không	R	B-qt	B-qt

điều	N	B-qt	B-qt
kiện	N	I-qt	I-qt
để	E	O	O
nâng	V	B-a	B-a
hạng	N	I-a	I-a
giấy	N	B-dl	B-dl
phép	N	I-dl	I-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
từ	E	O	O
c	N	B-dl	B-dl
lên	V	B-a	B-a
d	N	I-a	I-a
là	V	B-qt	B-qt
gì	P	I-qt	I-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
30.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
d	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
50.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
d	N	I-a	I-a
không	R	B-qt	B-qt

điều	N	B-qt	B-qt
kiện	N	I-qt	I-qt
để	E	O	O
nâng	V	B-a	B-a
hạng	N	I-a	I-a
giấy	N	B-dl	B-dl
phép	N	I-dl	I-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
từ	E	O	O
d	N	B-dl	B-dl
lên	R	B-a	B-a
e	V	I-a	I-a
là	V	B-qt	B-qt
gì	P	I-qt	I-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
d	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
36	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
60.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
d	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
32	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
30.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
d	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
36	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
60.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
f	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
e	V	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
40.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
f	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	A	I-dl	I-dl
2	M	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
40.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
d	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	A	I-dl	I-dl
2	M	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
36	M	I-if3	I-if3
tháng	N	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
d	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
b	A	I-dl	I-dl
2	M	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
5	M	I-if3	I-if3
năm	N	I-if3	I-if3
và	CC	I-if3	I-if3
100.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
d	N	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
40.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
36	M	I-if3	I-if3
tháng	N	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
80.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
5	M	I-if3	I-if3
năm	N	I-if3	I-if3
và	CC	I-if3	I-if3
100.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
có	V	O	O
bằng	E	B-dl	B-dl
lái	N	I-dl	I-dl
xe	N	I-dl	I-dl
hạng	N	I-dl	I-dl
c	N	I-dl	I-dl
lái	N	B-if3	B-if3
xe	N	I-if3	I-if3
được	V	I-if3	I-if3
24	M	I-if3	I-if3
tháng	N	I-if3	I-if3
và	CC	I-if3	I-if3
200.000	M	I-if3	I-if3
km	Nu	I-if3	I-if3
thì	C	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
nâng	V	B-a	B-a
lên	R	I-a	I-a
e	V	I-a	I-a
không	R	B-qt	B-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	O	O
mô	N	B-tv	B-tv
tô	N	I-tv	I-tv
2	M	I-tv	I-tv
bánh	N	I-tv	I-tv
có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
sử	V	O	O
dụng	V	O	O
xe	N	O	O
để	E	O	O
kéo	V	B-a	B-a
vật	N	I-a	I-a
khác	A	I-a	I-a
khi	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
không	R	B-qt	B-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	B-tv	B-tv
gắn	N	I-tv	I-tv
máy	N	I-tv	I-tv
có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
sử	V	O	O
dụng	V	O	O
xe	N	O	O
để	E	O	O
đẩy	V	B-a	B-a
các	L	I-a	I-a
xe	N	I-a	I-a
khác	A	I-a	I-a
khi	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
không	R	B-qt	B-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	B-tv	B-tv
gắn	N	I-tv	I-tv
máy	N	I-tv	I-tv
có	V	B-qt	B-qt
được	R	I-qt	I-qt
phép	N	O	O
sử	V	O	O
dụng	V	O	O
xe	N	O	O
để	E	O	O
kéo	V	B-a	B-a
vật	N	I-a	I-a
khác	A	I-a	I-a
khi	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
không	R	B-qt	B-qt

người	N	O	O
ngồi	V	O	O
trên	E	O	O
xe	N	O	O
mô	N	B-tv	B-tv
tô	N	I-tv	I-tv
2	M	I-tv	I-tv
bánh	N	I-tv	I-tv
khi	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
mang	V	B-if3	B-if3
;	;	I-if3	I-if3
vác	V	I-if3	I-if3
vật	N	I-if3	I-if3
cồng	A	I-if3	I-if3
kềnh	A	I-if3	I-if3
hay	C	O	O
không	R	B-qt	B-qt

hành	N	O	O
vi	N	O	O
giao	V	O	O
xe	N	B-tv	B-tv
cơ	N	I-tv	I-tv
giới	N	I-tv	I-tv
cho	E	O	O
người	N	O	O
không	R	B-if3	B-if3
đủ	A	I-if3	I-if3
điều	N	I-if3	I-if3
kiện	N	I-if3	I-if3
để	E	I-if3	I-if3
điều	V	I-if3	I-if3
khiển	V	I-if3	I-if3
xe	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
nghiêm	V	I-qt	I-qt
cấm	V	I-qt	I-qt
hay	C	I-qt	I-qt
không	R	I-qt	I-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
phương	N	O	O
tiện	N	O	O
giao	N	O	O
thông	N	O	O
trên	E	O	O
đường	N	O	O
phố	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
đỗ	V	B-a	B-a
xe	N	O	O
chỗ	N	B-l	B-l
dành	V	I-l	I-l
riêng	A	I-l	I-l
cho	E	I-l	I-l
xe	N	I-l	I-l
chữa	V	I-l	I-l
cháy	V	I-l	I-l
lấy	V	I-l	I-l
nước	N	I-l	I-l
hay	C	O	O
không	R	B-qt	B-qt

người	N	O	O
ngồi	V	O	O
trên	E	O	O
xe	N	O	O
mô	V	B-tv	B-tv
tô	V	I-tv	I-tv
3	M	I-tv	I-tv
bánh	N	I-tv	I-tv
khi	N	O	O
tham	V	O	O
gia	V	O	O
giao	N	O	O
thông	N	O	O
có	V	B-qt	B-qt
được	R	I-qt	I-qt
mang	V	B-if3	B-if3
,	,	I-if3	I-if3
vác	V	I-if3	I-if3
vật	N	I-if3	I-if3
cồng	A	I-if3	I-if3
kềnh	A	I-if3	I-if3
hay	C	O	O
không	R	B-qt	B-qt

xe	N	O	O
sau	A	O	O
có	R	O	O
thể	R	O	O
vượt	V	B-a	B-a
lên	R	I-a	I-a
bên	N	I-a	I-a
phải	V	I-a	I-a
xe	N	I-a	I-a
khác	A	I-a	I-a
đang	R	O	O
chạy	V	O	O
phía	N	O	O
trước	A	O	O
trong	E	O	O
trường	N	B-qt	B-qt
hợp	N	I-qt	I-qt
nào	P	I-qt	I-qt

hành	N	B-tp	B-tp
khách	N	I-tp	I-tp
có	V	B-qt	B-qt
các	L	I-qt	I-qt
quyền	N	I-qt	I-qt
gì	P	I-qt	I-qt
khi	N	O	O
đi	V	O	O
trên	E	O	O
xe	N	B-tv	B-tv
vận	V	I-tv	I-tv
tải	V	I-tv	I-tv
hành	N	I-tv	I-tv
khách	N	I-tv	I-tv

người	N	O	O
ngồi	V	O	O
trên	E	O	O
xe	N	O	O
mô	N	B-tv	B-tv
tô	N	I-tv	I-tv
2	M	I-tv	I-tv
bánh	N	I-tv	I-tv
phải	V	O	O
đội	N	B-if3	B-if3
mũ	N	I-if3	I-if3
bảo	N	I-if3	I-if3
hiểm	N	I-if3	I-if3
có	V	I-if3	I-if3
cài	V	I-if3	I-if3
quai	N	I-if3	I-if3
đúng	A	I-if3	I-if3
quy	N	I-if3	I-if3
cách	N	I-if3	I-if3
khi	N	B-qt	B-qt
nào	P	I-qt	I-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	O	O
mô	N	B-tv	B-tv
tô	N	I-tv	I-tv
2	M	I-tv	I-tv
bánh	N	I-tv	I-tv
được	V	O	O
phép	N	O	O
chở	V	B-a	B-a
tối	A	I-a	O
đa	A	I-a	O
2	M	I-a	B-a
người	N	I-a	I-a
trong	E	B-qt	B-qt
những	L	I-qt	I-qt
trường	N	I-qt	I-qt
hợp	N	I-qt	I-qt
nào	P	I-qt	I-qt

người	N	O	O
điều	V	O	O
khiển	V	O	O
xe	N	O	O
xe	N	B-tv	B-tv
gắn	N	I-tv	I-tv
máy	N	I-tv	I-tv
được	V	O	O
phép	N	O	O
chở	V	B-a	B-a
tối	A	I-a	O
đa	A	I-a	O
2	M	I-a	B-a
người	N	I-a	I-a
trong	E	B-qt	B-qt
những	L	I-qt	I-qt
trường	N	I-qt	I-qt
hợp	N	I-qt	I-qt
nào	P	I-qt	I-qt

khi	N	B-if4	O
tập	V	I-if4	O
lái	N	I-if4	O
xe	N	I-if4	O
ô	N	I-if4	B-tv
tô	N	I-if4	I-tv
,	,	O	O
người	N	O	O
và	CC	O	O
xe	N	O	O
tập	V	O	O
lái	V	O	O
phải	V	B-qt	B-qt
đảm	V	I-qt	I-qt
bảo	V	I-qt	I-qt
các	L	I-qt	I-qt
điều	N	I-qt	I-qt
kiện	N	I-qt	I-qt
gì	P	I-qt	I-qt

hành	N	O	O
vi	N	O	O
đưa	V	O	O
xe	N	B-tv	B-tv
cơ	N	I-tv	I-tv
giới	N	I-tv	I-tv
không	R	B-if1	B-if1
bảo	V	I-if1	I-if1
đảm	V	I-if1	I-if1
tiêu	N	I-if1	I-if1
chuẩn	N	I-if1	I-if1
an	A	I-if1	I-if1
toàn	A	I-if1	I-if1
kỹ	N	I-if1	I-if1
thuật	N	I-if1	I-if1
và	CC	I-if1	I-if1
bảo	V	I-if1	I-if1
vệ	V	I-if1	I-if1
môi	N	I-if1	I-if1
trường	N	I-if1	I-if1
tham	V	B-a	B-a
gia	V	I-a	I-a
giao	N	I-a	I-a
thông	N	I-a	I-a
đường	N	I-a	I-a
bộ	N	I-a	I-a
có	V	B-qt	B-qt
bị	V	I-qt	I-qt
nghiêm	V	I-qt	I-qt
cấm	V	I-qt	I-qt
hay	C	I-qt	I-qt
không	R	I-qt	I-qt

người	N	O	O
lái	V	B-if3	O
ô	N	I-if3	B-tv
tô	N	I-if3	I-tv
chở	V	I-if3	O
người	N	I-if3	O
trên	E	I-if3	B-if1
30	M	I-if3	I-if1
chỗ	N	I-if3	I-if1
